country_lc,country_en,country_code,postal_code,region_1_lc,region_1_en,region_2_lc,region_2_en,timezone,utc,latitude,longitude
عُمان,Oman,OM,285878,الظاهرة,Adh Dhahirah,عبرى,Ibri,Asia/Muscat,UTC+4.0,22.80371,56.60535
عُمان,Oman,OM,285879,ظفار,Dhofar,صلالة,Salalah,Asia/Muscat,UTC+4.0,17.0425,54.16528
عُمان,Oman,OM,285880,الظاهرة,Adh Dhahirah,عبرى,Ibri,Asia/Muscat,UTC+4.0,21.96653,55.75194
عُمان,Oman,OM,285881,جنوب الباطنة,Al Batinah North,السويق,As Suwayq,Asia/Muscat,UTC+4.0,23.88383,57.31426
عُمان,Oman,OM,285882,شمال الشرقية,Al Sharqiyah North,شمال الشرقية,Wadi Bani Khalid,Asia/Muscat,UTC+4.0,22.59144,59.08953
عُمان,Oman,OM,285883,الداخلية,Al Dakhiliyah,نزوى,Nizwa,Asia/Muscat,UTC+4.0,23.09383,57.43014
عُمان,Oman,OM,285884,الظاهرة,Adh Dhahirah,عبرى,Ibri,Asia/Muscat,UTC+4.0,22.53115,56.5124
عُمان,Oman,OM,285885,شمال الشرقية,Al Sharqiyah North,المضيبي,Al Mudaybi,Asia/Muscat,UTC+4.0,21.41432,58.39763
عُمان,Oman,OM,285886,ظفار,Dhofar,صلالة,Salalah,Asia/Muscat,UTC+4.0,17.1,54.0
عُمان,Oman,OM,285887,,,,,Asia/Muscat,UTC+4.0,20.36667,58.26667
عُمان,Oman,OM,285888,جنوب الباطنة,Al Batinah North,لوى,Liwa,Asia/Muscat,UTC+4.0,24.44972,56.29442
عُمان,Oman,OM,285889,شمال الباطنة,Al Batinah South,الرستاق,Ar Rustaq,Asia/Muscat,UTC+4.0,23.45012,57.11427
عُمان,Oman,OM,285890,الوسطى,Al Wusta,هيماء,Haima,Asia/Muscat,UTC+4.0,20.77001,55.30476
عُمان,Oman,OM,285891,الوسطى,Al Wusta,هيماء,Haima,Asia/Muscat,UTC+4.0,20.53333,55.93333
عُمان,Oman,OM,285892,ظفار,Dhofar,ظفار,Shalim Wa Juzor Al Hallaniyat,Asia/Muscat,UTC+4.0,17.90226,55.4899
عُمان,Oman,OM,285894,شمال الباطنة,Al Batinah South,الرستاق,Ar Rustaq,Asia/Muscat,UTC+4.0,23.46037,57.31434
عُمان,Oman,OM,285896,جنوب الشرقية,Ash Sharqiyah,مصيرة,Masirah,Asia/Muscat,UTC+4.0,20.21597,58.72317
