country_lc,country_en,country_code,postal_code,region1_lc,region1_en,region2_lc,region2_en,region3_lc,region3_en,region4_lc,region4_en,timezone,utc,latitude,longitude
Kenya,Kenya,KE,20214,,Rift Valley,,Kericho,,Bureti,,Kapkatet,Africa/Nairobi,UTC +3.0,-0.6293569,35.1964482
Kenya,Kenya,KE,20219,,Nairobi,,Nairobi,,Highridge,,Kapkelet,Africa/Nairobi,UTC +3.0,-1.2626336,36.8156719
Kenya,Kenya,KE,20206,,Nairobi,,Nairobi,,Highridge,,Kapkugerwet,Africa/Nairobi,UTC +3.0,-1.2857857,36.8200253
Kenya,Kenya,KE,20211,,Rift Valley,,Kericho,,Ainamoi,,Kapsoit,Africa/Nairobi,UTC +3.0,,
Kenya,Kenya,KE,20207,,Rift Valley,,Kericho,,Kericho,,Kapsuser,Africa/Nairobi,UTC +3.0,-1.2857857,36.8200253
Kenya,Kenya,KE,20221,,Rift Valley,,Bomet,,Bomet,,Kaptebengwet,Africa/Nairobi,UTC +3.0,-0.8180969,35.4309066
Kenya,Kenya,KE,20328,,Central,,Nyandarua,,Ndaragwa,,Karandi,Africa/Nairobi,UTC +3.0,-0.0587899,36.5278259
Kenya,Kenya,KE,20220,,Rift Valley,,Kericho,,Kipkelion East,,Kedowa,Africa/Nairobi,UTC +3.0,,
Kenya,Kenya,KE,20501,,Rift Valley,,Narok,,Narok South,,Keekorok,Africa/Nairobi,UTC +3.0,-1.2806973,36.8238833
Kenya,Kenya,KE,20314,,Rift Valley,,Laikipia,,Nyahururu,,Mairo Inya,Africa/Nairobi,UTC +3.0,0.0413677,36.4245486
