country_en,country_lc,country_code,postal_code,region1_lc,region1_en,region2_lc,region2_en,region3_lc,region3_en,Time Zone ,UTC,Y,X
Saudi Arabia  ,العربية السعودية,SA,22338,منطقة مكة المكرمة,Makkah Al Mukarramah Province,جدة,Jeddah,الثغر,Al Thaghr,Arabia Standard Time,UTC+3,21.4743592,39.2385508
Saudi Arabia  ,العربية السعودية,SA,22341,منطقة مكة المكرمة,Makkah Al Mukarramah Province,جدة,Jeddah,الجامعة,Al Jamiah,Arabia Standard Time,UTC+3,21.4795075,39.2430691
Saudi Arabia  ,العربية السعودية,SA,22342,منطقة مكة المكرمة,Makkah Al Mukarramah Province,جدة,Jeddah,الجامعة,Al Jamiah,Arabia Standard Time,UTC+3,21.4733184,39.2427272
Saudi Arabia  ,العربية السعودية,SA,22343,منطقة مكة المكرمة,Makkah Al Mukarramah Province,جدة,Jeddah,مدائن الفهد,Madain Al Fahd,Arabia Standard Time,UTC+3,21.4672264,39.2406391
Saudi Arabia  ,العربية السعودية,SA,22344,منطقة مكة المكرمة,Makkah Al Mukarramah Province,جدة,Jeddah,مدائن الفهد,Madain Al Fahd,Arabia Standard Time,UTC+3,21.4561567,39.2199401
Saudi Arabia  ,العربية السعودية,SA,22345,منطقة مكة المكرمة,Makkah Al Mukarramah Province,جدة,Jeddah,الروابي,Al Rawabi,Arabia Standard Time,UTC+3,21.4736842,39.2704828
Saudi Arabia  ,العربية السعودية,SA,22346,منطقة مكة المكرمة,Makkah Al Mukarramah Province,جدة,Jeddah,الجامعة,Al Jamiah,Arabia Standard Time,UTC+3,21.4666963,39.259594
Saudi Arabia  ,العربية السعودية,SA,22347,منطقة مكة المكرمة,Makkah Al Mukarramah Province,جدة,Jeddah,مدائن الفهد,Madain Al Fahd,Arabia Standard Time,UTC+3,21.4631315,39.2523931
Saudi Arabia  ,العربية السعودية,SA,22348,منطقة مكة المكرمة,Makkah Al Mukarramah Province,جدة,Jeddah,الروابي,Al Rawabi,Arabia Standard Time,UTC+3,21.4642273,39.269078
Saudi Arabia  ,العربية السعودية,SA,22349,منطقة مكة المكرمة,Makkah Al Mukarramah Province,جدة,Jeddah,الفاروق,Al Farouk,Arabia Standard Time,UTC+3,21.4535429,39.2627788
Saudi Arabia  ,العربية السعودية,SA,22351,منطقة مكة المكرمة,Makkah Al Mukarramah Province,جدة,Jeddah,المتنزهات,Al Mutanazahat,Arabia Standard Time,UTC+3,21.4767763,39.2767299
Saudi Arabia  ,العربية السعودية,SA,22352,منطقة مكة المكرمة,Makkah Al Mukarramah Province,جدة,Jeddah,المتنزهات,Al Mutanazahat,Arabia Standard Time,UTC+3,21.4635839,39.2849732
Saudi Arabia  ,العربية السعودية,SA,22353,منطقة مكة المكرمة,Makkah Al Mukarramah Province,جدة,Jeddah,المتنزهات,Al Mutanazahat,Arabia Standard Time,UTC+3,21.450892,39.2939196
Saudi Arabia  ,العربية السعودية,SA,22354,منطقة مكة المكرمة,Makkah Al Mukarramah Province,جدة,Jeddah,المتنزهات,Al Mutanazahat,Arabia Standard Time,UTC+3,21.4791442,39.2847042
Saudi Arabia  ,العربية السعودية,SA,22355,منطقة مكة المكرمة,Makkah Al Mukarramah Province,جدة,Jeddah,المتنزهات,Al Mutanazahat,Arabia Standard Time,UTC+3,21.4738197,39.286353
Saudi Arabia  ,العربية السعودية,SA,22356,منطقة مكة المكرمة,Makkah Al Mukarramah Province,جدة,Jeddah,المتنزهات,Al Mutanazahat,Arabia Standard Time,UTC+3,21.4587827,39.3067355
Saudi Arabia  ,العربية السعودية,SA,22361,منطقة مكة المكرمة,Makkah Al Mukarramah Province,جدة,Jeddah,العدل,Al Adel,Arabia Standard Time,UTC+3,21.4384442,39.3011727
Saudi Arabia  ,العربية السعودية,SA,22362,منطقة مكة المكرمة,Makkah Al Mukarramah Province,جدة,Jeddah,الامير فواز الشمالى,Al Amir Fawaz Al Shamaly,Arabia Standard Time,UTC+3,21.4341339,39.3081033
