country_en,country_lc,country_code,postcode,region1_lc,region1_en,region2_lc,region2_en,region3_lc,region3_en,region4_lc,region4_en,utc,timezone
Australia,Australia,AU,2380,New South Wales,New South Wales,Northwest Slopes,Northwest Slopes,Kelvin,Kelvin,,,UTC+10:00,Australia – Eastern Standard Time
Australia,Australia,AU,2360,New South Wales,New South Wales,Northwest Slopes,Northwest Slopes,Kings Plains,Kings Plains,,,UTC+10:00,Australia – Eastern Standard Time
Australia,Australia,AU,2340,New South Wales,New South Wales,Northwest Slopes,Northwest Slopes,Kingswood,Kingswood,,,UTC+10:00,Australia – Eastern Standard Time
Australia,Australia,AU,2346,New South Wales,New South Wales,Northwest Slopes,Northwest Slopes,Klori,Klori,,,UTC+10:00,Australia – Eastern Standard Time
Australia,Australia,AU,2352,New South Wales,New South Wales,Northwest Slopes,Northwest Slopes,Kootingal,Kootingal,,,UTC+10:00,Australia – Eastern Standard Time
Australia,Australia,AU,2352,New South Wales,New South Wales,Northwest Slopes,Northwest Slopes,Limbri,Limbri,,,UTC+10:00,Australia – Eastern Standard Time
Australia,Australia,AU,2361,New South Wales,New South Wales,Northwest Slopes,Northwest Slopes,Limestone,Limestone,,,UTC+10:00,Australia – Eastern Standard Time
Australia,Australia,AU,2347,New South Wales,New South Wales,Northwest Slopes,Northwest Slopes,Lindesay,Lindesay,,,UTC+10:00,Australia – Eastern Standard Time
Australia,Australia,AU,2339,New South Wales,New South Wales,Northwest Slopes,Northwest Slopes,Little Jacks Creek,Little Jacks Creek,,,UTC+10:00,Australia – Eastern Standard Time
Australia,Australia,AU,2360,New South Wales,New South Wales,Northwest Slopes,Northwest Slopes,Little Plain,Little Plain,,,UTC+10:00,Australia – Eastern Standard Time
Australia,Australia,AU,2347,New South Wales,New South Wales,Northwest Slopes,Northwest Slopes,Longarm,Longarm,,,UTC+10:00,Australia – Eastern Standard Time
Australia,Australia,AU,2340,New South Wales,New South Wales,Northwest Slopes,Northwest Slopes,Loomberah,Loomberah,,,UTC+10:00,Australia – Eastern Standard Time
Australia,Australia,AU,2339,New South Wales,New South Wales,Northwest Slopes,Northwest Slopes,Macdonalds Creek,Macdonalds Creek,,,UTC+10:00,Australia – Eastern Standard Time
Australia,Australia,AU,2346,New South Wales,New South Wales,Northwest Slopes,Northwest Slopes,Manilla,Manilla,,,UTC+10:00,Australia – Eastern Standard Time
Australia,Australia,AU,2380,New South Wales,New South Wales,Northwest Slopes,Northwest Slopes,Marys Mount,Marys Mount,,,UTC+10:00,Australia – Eastern Standard Time
Australia,Australia,AU,2382,New South Wales,New South Wales,Northwest Slopes,Northwest Slopes,Maules Creek,Maules Creek,,,UTC+10:00,Australia – Eastern Standard Time
Australia,Australia,AU,2347,New South Wales,New South Wales,Northwest Slopes,Northwest Slopes,Mayvale,Mayvale,,,UTC+10:00,Australia – Eastern Standard Time
Australia,Australia,AU,2380,New South Wales,New South Wales,Northwest Slopes,Northwest Slopes,Milroy,Milroy,,,UTC+10:00,Australia – Eastern Standard Time
Australia,Australia,AU,2353,New South Wales,New South Wales,Northwest Slopes,Northwest Slopes,Moonbi,Moonbi,,,UTC+10:00,Australia – Eastern Standard Time
Australia,Australia,AU,2340,New South Wales,New South Wales,Northwest Slopes,Northwest Slopes,Moore Creek,Moore Creek,,,UTC+10:00,Australia – Eastern Standard Time
Australia,Australia,AU,2360,New South Wales,New South Wales,Northwest Slopes,Northwest Slopes,Mount Russell,Mount Russell,,,UTC+10:00,Australia – Eastern Standard Time
Australia,Australia,AU,2352,New South Wales,New South Wales,Northwest Slopes,Northwest Slopes,Mulla Creek,Mulla Creek,,,UTC+10:00,Australia – Eastern Standard Time
Australia,Australia,AU,2379,New South Wales,New South Wales,Northwest Slopes,Northwest Slopes,Mullaley,Mullaley,,,UTC+10:00,Australia – Eastern Standard Time
Australia,Australia,AU,2403,New South Wales,New South Wales,Northwest Slopes,Northwest Slopes,Myall Creek,Myall Creek,,,UTC+10:00,Australia – Eastern Standard Time
